country,isocode,year,pop,emp,hc,rgdpna,labsh,avh
Australia,AUS,1950,8.354,3.43,2.6673,127461.2,0.6805,2170.9
Australia,AUS,1951,8.6,3.524,2.6743,130703.1,0.6805,2150.8
Australia,AUS,1952,8.782,3.592,2.6814,125353.1,0.6805,2131.0
Australia,AUS,1953,8.951,3.653,2.6885,138952.2,0.6805,2111.2
Australia,AUS,1954,9.159,3.731,2.6956,150060.7,0.6805,2091.7
Australia,AUS,1955,9.374,3.811,2.7027,155979.7,0.6805,2072.4
Australia,AUS,1956,9.6,3.895,2.7115,156337.7,0.6805,2053.2
Australia,AUS,1957,9.815,3.946,2.7202,159762.0,0.6805,2034.2
Australia,AUS,1958,10.019,3.981,2.729,170599.0,0.6805,2015.4
Australia,AUS,1959,10.238,4.03,2.7379,181049.3,0.6805,1996.8
Australia,AUS,1960,10.47,4.155,2.7468,185259.7,0.6858,1978.3
Australia,AUS,1961,10.71,4.167,2.7682,187786.0,0.6805,1974.7
Australia,AUS,1962,10.908,4.267,2.7897,199575.2,0.6706,1971.0
Australia,AUS,1963,11.117,4.389,2.8114,213048.7,0.6617,1967.4
Australia,AUS,1964,11.336,4.547,2.8333,226522.1,0.6682,1963.8
Australia,AUS,1965,11.559,4.685,2.8554,231574.7,0.6805,1960.1
Australia,AUS,1966,11.777,4.853,2.8776,245890.2,0.6761,1956.5
Australia,AUS,1967,11.997,5.005,2.9001,258521.5,0.6703,1952.9
Australia,AUS,1968,12.229,5.127,2.9227,277047.5,0.6642,1949.3
Australia,AUS,1969,12.509,5.271,2.9454,297257.7,0.6569,1945.7
Australia,AUS,1970,12.793,5.471,2.9684,309046.9,0.671,1942.1
Australia,AUS,1971,13.033,5.583,2.992,321138.4,0.6755,1923.5
Australia,AUS,1972,13.244,5.652,3.0158,329532.1,0.6699,1903.1
Australia,AUS,1973,13.432,5.799,3.0398,343054.0,0.6922,1889.8
Australia,AUS,1974,13.606,5.898,3.064,347685.0,0.7198,1907.1
Australia,AUS,1975,13.773,5.874,3.0884,356682.0,0.7139,1893.8
Australia,AUS,1976,13.936,5.96,3.113,369513.4,0.7009,1904.2
Australia,AUS,1977,14.093,6.014,3.1378,372827.4,0.7001,1906.0
Australia,AUS,1978,14.249,6.032,3.1628,387902.7,0.6827,1906.9
Australia,AUS,1979,14.413,6.112,3.188,399672.6,0.6715,1912.3
Australia,AUS,1980,14.588,6.278,3.2134,413012.8,0.6723,1909.8
Australia,AUS,1981,14.777,6.356,3.2326,426759.6,0.6775,1894.8
Australia,AUS,1982,14.979,6.34,3.252,417283.6,0.6757,1870.7
Australia,AUS,1983,15.195,6.241,3.2714,436400.6,0.646,1857.0
Australia,AUS,1984,15.423,6.458,3.291,459308.7,0.6446,1878.2
Australia,AUS,1985,15.664,6.682,3.3107,477853.4,0.6418,1869.3
Australia,AUS,1986,15.918,6.977,3.3306,490044.2,0.6319,1873.9
Australia,AUS,1987,16.183,7.141,3.3505,518189.3,0.6132,1871.6
Australia,AUS,1988,16.452,7.412,3.3706,538197.6,0.6091,1867.9
Australia,AUS,1989,16.714,7.722,3.3908,557416.6,0.6185,1877.8
Australia,AUS,1990,16.961,7.845,3.4111,555199.1,0.626,1864.0
Australia,AUS,1991,17.189,7.674,3.4236,557487.5,0.6173,1850.5
Australia,AUS,1992,17.402,7.635,3.4362,579953.8,0.6073,1846.5
Australia,AUS,1993,17.603,7.667,3.4489,603058.5,0.6013,1863.8
Australia,AUS,1994,17.799,7.923,3.4615,626202.4,0.6041,1869.9
Australia,AUS,1995,17.993,8.215,3.4743,650490.2,0.6075,1870.3
Australia,AUS,1996,18.189,8.321,3.487,676292.1,0.618,1863.8
Australia,AUS,1997,18.387,8.383,3.4999,707243.9,0.6118,1861.1
Australia,AUS,1998,18.587,8.529,3.5127,743126.6,0.6134,1846.6
Australia,AUS,1999,18.788,8.681,3.5257,772354.8,0.605,1848.5
Australia,AUS,2000,18.991,8.903,3.5386,787267.9,0.6065,1847.5
Australia,AUS,2001,19.195,9.012,3.5275,818769.6,0.6082,1814.1
Australia,AUS,2002,19.401,9.185,3.5164,843217.6,0.6008,1808.1
Australia,AUS,2003,19.624,9.398,3.5054,877413.9,0.6015,1801.6
Australia,AUS,2004,19.88,9.561,3.4944,905528.6,0.6032,1799.4
Australia,AUS,2005,20.179,9.911,3.4834,930833.9,0.593,1797.1
Australia,AUS,2006,20.526,10.165,3.4724,966617.2,0.5881,1786.9
Australia,AUS,2007,20.916,10.489,3.4615,1001975.7,0.5933,1786.3
Australia,AUS,2008,21.332,10.758,3.4506,1021383.9,0.5691,1786.5
Australia,AUS,2009,21.751,10.854,3.4398,1042500.1,0.5771,1758.0
Australia,AUS,2010,22.155,11.121,3.429,1068174.4,0.575,1763.3
Australia,AUS,2011,22.538,11.326,3.4422,1110027.2,0.5754,1765.3
Australia,AUS,2012,22.904,11.449,3.4554,1138720.2,0.5825,1757.2
Australia,AUS,2013,23.255,11.554,3.4687,1167565.4,0.5821,1756.3
Australia,AUS,2014,23.596,11.667,3.4821,1193166.0,0.596,1746.5
Australia,AUS,2015,23.933,11.908,3.4955,1226224.5,0.604,1746.5
Australia,AUS,2016,24.263,12.072,3.509,1254435.0,0.5839,1736.1
Australia,AUS,2017,24.585,12.324,3.5225,1291432.0,0.5798,1736.8
Australia,AUS,2018,24.898,12.619,3.536,1319339.4,0.5716,1729.3
Australia,AUS,2019,25.203,12.863,3.5497,1315581.2,0.5716,1726.8
Austria,AUT,1950,6.981,2.935,2.5526,56938.3,0.633,2085.7
Austria,AUT,1951,6.981,2.991,2.537,60466.2,0.633,2083.0
Austria,AUT,1952,6.973,2.924,2.5215,60231.0,0.633,2080.4
Austria,AUT,1953,6.978,2.892,2.5061,62209.7,0.633,2077.7
Austria,AUT,1954,6.986,2.976,2.4908,67343.6,0.633,2075.1
Austria,AUT,1955,6.993,3.126,2.4756,75054.7,0.633,2072.4
Austria,AUT,1956,6.998,3.222,2.4611,79681.4,0.633,2069.8
Austria,AUT,1957,7.012,3.295,2.4467,84308.0,0.633,2067.2
Austria,AUT,1958,7.033,3.322,2.4323,87392.5,0.633,2064.5
Austria,AUT,1959,7.061,3.371,2.4181,89962.8,0.633,2061.9
Austria,AUT,1960,7.094,3.44,2.4039,98188.0,0.633,2059.3
Austria,AUT,1961,7.133,3.459,2.427,103328.7,0.633,2046.6
Austria,AUT,1962,7.177,3.443,2.4502,105385.0,0.633,2034.1
Austria,AUT,1963,7.223,3.42,2.4737,110011.7,0.633,2021.6
Austria,AUT,1964,7.271,3.414,2.4974,116694.6,0.633,2009.1
Austria,AUT,1965,7.319,3.391,2.5214,119779.1,0.633,1996.8
Austria,AUT,1966,7.37,3.363,2.5455,126462.0,0.633,1984.5
Austria,AUT,1967,7.426,3.308,2.5667,130574.6,0.633,1972.3
Austria,AUT,1968,7.464,3.265,2.5832,136229.4,0.633,1960.2
Austria,AUT,1969,7.49,3.258,2.5999,144968.7,0.633,1948.2
Austria,AUT,1970,7.516,3.265,2.6166,155250.1,0.633,1890.1
Austria,AUT,1971,7.55,3.301,2.6337,163188.3,0.633,1885.3
Austria,AUT,1972,7.581,3.32,2.6509,173318.8,0.633,1905.7
Austria,AUT,1973,7.607,3.359,2.6682,181789.4,0.633,1900.7
Austria,AUT,1974,7.626,3.405,2.6856,188958.7,0.633,1978.7
Austria,AUT,1975,7.638,3.394,2.7032,188274.1,0.633,1904.0
Austria,AUT,1976,7.641,3.413,2.7208,196891.4,0.633,1898.0
Austria,AUT,1977,7.637,3.451,2.7386,206893.5,0.633,1904.8
Austria,AUT,1978,7.628,3.467,2.7565,206457.6,0.633,1844.1
Austria,AUT,1979,7.618,3.484,2.7745,217517.0,0.633,1876.7
Austria,AUT,1980,7.61,3.512,2.7926,221283.2,0.633,1881.0
Austria,AUT,1981,7.605,3.488,2.8094,220963.9,0.633,1819.1
Austria,AUT,1982,7.602,3.435,2.8263,225408.1,0.633,1835.1
Austria,AUT,1983,7.603,3.423,2.8433,232109.6,0.633,1829.9
Austria,AUT,1984,7.607,3.421,2.8604,232228.7,0.633,1825.9
Austria,AUT,1985,7.615,3.432,2.8776,238031.3,0.633,1821.5
Austria,AUT,1986,7.625,3.443,2.8949,243509.3,0.633,1820.7
Austria,AUT,1987,7.639,3.442,2.9123,246814.2,0.633,1808.7
Austria,AUT,1988,7.659,3.471,2.9298,254948.9,0.633,1812.1
Austria,AUT,1989,7.687,3.516,2.9474,264858.9,0.633,1825.2
Austria,AUT,1990,7.724,3.56,2.9651,276368.8,0.633,1826.0
Austria,AUT,1991,7.773,3.591,2.98,285880.3,0.633,1836.4
Austria,AUT,1992,7.831,3.594,2.9949,291865.3,0.633,1804.9
Austria,AUT,1993,7.892,3.573,3.0099,293402.9,0.633,1802.3
Austria,AUT,1994,7.947,3.584,3.025,300450.8,0.633,1800.5
Austria,AUT,1995,7.99,3.585,3.0401,308466.8,0.633,1774.4
Austria,AUT,1996,8.018,3.607,3.0554,315714.3,0.6216,1807.3
